condition,run,temperature,accuracy,pred_rate_pos,direct_parse_rate
baseline,1,0.0,0.5612132352941176,0.10459558823529412,1.0
baseline,2,0.1,0.5661764705882353,0.11102941176470588,1.0
baseline,3,0.2,0.5672794117647059,0.11360294117647059,1.0
baseline,4,0.35,0.578125,0.12886029411764705,0.9990808823529411
baseline,5,0.5,0.5865808823529411,0.15018382352941176,0.9944852941176471
baseline,6,0.65,0.5871323529411765,0.175,0.9860294117647059
baseline,7,0.8,0.5858455882352941,0.20827205882352942,0.9597426470588235
baseline,8,0.95,0.5976102941176471,0.23106617647058825,0.914889705882353
baseline,9,1.1,0.5775735294117647,0.24485294117647058,0.8696691176470588
baseline,10,1.25,0.5784926470588235,0.2542279411764706,0.8170955882352942
acceptable,1,0.0,0.6090073529411765,0.165625,1.0
acceptable,2,0.1,0.6172794117647059,0.17683823529411766,1.0
acceptable,3,0.2,0.6169117647058824,0.18198529411764705,1.0
acceptable,4,0.35,0.6213235294117647,0.19669117647058823,1.0
acceptable,5,0.5,0.615625,0.21966911764705882,1.0
acceptable,6,0.65,0.6134191176470588,0.25680147058823527,0.9994485294117647
acceptable,7,0.8,0.6045955882352941,0.29099264705882355,0.9928308823529411
acceptable,8,0.95,0.596875,0.30606617647058826,0.9805147058823529
acceptable,9,1.1,0.5909926470588235,0.3365808823529412,0.9547794117647059
acceptable,10,1.25,0.5891544117647058,0.36011029411764706,0.9108455882352942
fewshot,1,0.0,0.6996323529411764,0.27794117647058825,0.9919117647058824
fewshot,2,0.1,0.7034926470588235,0.28768382352941174,0.9915441176470589
fewshot,3,0.2,0.7023897058823529,0.29099264705882355,0.9904411764705883
fewshot,4,0.35,0.6981617647058823,0.2959558823529412,0.9770220588235294
fewshot,5,0.5,0.6827205882352941,0.2977941176470588,0.9400735294117647
fewshot,6,0.65,0.6542279411764705,0.2994485294117647,0.8604779411764706
fewshot,7,0.8,0.6490808823529411,0.29613970588235294,0.778125
fewshot,8,0.95,0.6272058823529412,0.29926470588235293,0.6783088235294118
fewshot,9,1.1,0.6091911764705882,0.2911764705882353,0.5854779411764706
fewshot,10,1.25,0.6045955882352941,0.2803308823529412,0.5295955882352941
