group,condition,n_baseline_No,No→Yes,No→Yes_rate,n_baseline_Yes,Yes→No,Yes→No_rate
label1_fail,L29_only,59,0,0.0,41,2,0.049
label1_fail,L30_only,59,10,0.169,41,0,0.0
label1_fail,L31_only,59,0,0.0,41,10,0.244
label1_fail,L29_L30,59,10,0.169,41,0,0.0
label1_fail,L30_L31,59,5,0.085,41,1,0.024
label1_fail,L29_L30_L31,59,4,0.068,41,0,0.0
label1_fail,L15_ctrl,59,8,0.136,41,12,0.293
label1_fail,L25_L26_ctrl,59,1,0.017,41,3,0.073
label1_pass,L29_only,0,0,,100,0,0.0
label1_pass,L30_only,0,0,,100,0,0.0
label1_pass,L31_only,0,0,,100,0,0.0
label1_pass,L29_L30,0,0,,100,0,0.0
label1_pass,L30_L31,0,0,,100,0,0.0
label1_pass,L29_L30_L31,0,0,,100,0,0.0
label1_pass,L15_ctrl,0,0,,100,6,0.06
label1_pass,L25_L26_ctrl,0,0,,100,0,0.0
label0_pass,L29_only,93,0,0.0,7,0,0.0
label0_pass,L30_only,93,8,0.086,7,0,0.0
label0_pass,L31_only,93,0,0.0,7,0,0.0
label0_pass,L29_L30,93,9,0.097,7,0,0.0
label0_pass,L30_L31,93,2,0.022,7,0,0.0
label0_pass,L29_L30_L31,93,1,0.011,7,0,0.0
label0_pass,L15_ctrl,93,2,0.022,7,2,0.286
label0_pass,L25_L26_ctrl,93,0,0.0,7,1,0.143
