group,condition,n,mean_Δld,median_Δld,t_p_two_sided,wilcoxon_p
label1_fail,L29_only,100,0.015,0.0,1.28e-01,1.25e-01
label1_fail,L30_only,100,0.288,0.375,1.00e-03,1.03e-03
label1_fail,L31_only,100,-0.175,-0.125,2.86e-08,2.17e-07
label1_fail,L29_L30,100,0.311,0.438,3.15e-05,4.95e-05
label1_fail,L30_L31,100,-0.039,0.0,7.62e-01,7.56e-01
label1_fail,L29_L30_L31,100,0.039,0.0,6.92e-01,6.86e-01
label1_fail,L15_ctrl,100,-0.005,0.0,9.51e-01,8.23e-01
label1_fail,L25_L26_ctrl,100,0.03,0.0,1.46e-02,1.65e-02
label1_pass,L29_only,100,-0.224,-0.25,1.88e-26,5.75e-16
label1_pass,L30_only,100,2.21,2.25,1.19e-56,3.75e-18
label1_pass,L31_only,100,0.365,0.375,7.75e-31,5.07e-17
label1_pass,L29_L30,100,1.444,1.5,1.35e-62,3.49e-18
label1_pass,L30_L31,100,2.864,3.0,4.78e-62,3.72e-18
label1_pass,L29_L30_L31,100,2.041,2.125,1.51e-61,3.66e-18
label1_pass,L15_ctrl,100,-0.272,-0.25,1.31e-03,1.57e-03
label1_pass,L25_L26_ctrl,100,0.062,0.0,1.02e-07,7.99e-07
label0_pass,L29_only,100,0.076,0.0,1.22e-06,3.24e-06
label0_pass,L30_only,100,-0.642,-0.625,2.13e-08,5.51e-07
label0_pass,L31_only,100,-0.072,-0.25,2.40e-01,2.26e-02
label0_pass,L29_L30,100,-0.448,-0.438,1.10e-06,6.25e-06
label0_pass,L30_L31,100,-1.162,-1.312,2.03e-18,3.64e-13
label0_pass,L29_L30_L31,100,-0.771,-1.0,4.84e-16,4.45e-12
label0_pass,L15_ctrl,100,0.009,0.0,8.42e-01,8.22e-01
label0_pass,L25_L26_ctrl,100,0.096,0.0,3.94e-06,9.40e-06
