group,condition,n,yes_rate,mean_ld,median_ld,mean_delta_ld
label1_fail,baseline,100,0.41,-0.481,-0.312,0.0
label1_fail,L29_only,100,0.39,-0.466,-0.25,0.015
label1_fail,L30_only,100,0.51,-0.194,0.125,0.288
label1_fail,L31_only,100,0.31,-0.656,-0.5,-0.175
label1_fail,L29_L30,100,0.51,-0.17,0.125,0.311
label1_fail,L30_L31,100,0.45,-0.52,-0.375,-0.039
label1_fail,L29_L30_L31,100,0.45,-0.442,-0.25,0.039
label1_fail,L15_ctrl,100,0.37,-0.486,-0.375,-0.005
label1_fail,L25_L26_ctrl,100,0.39,-0.451,-0.375,0.03
label1_pass,baseline,100,1.0,2.212,2.125,0.0
label1_pass,L29_only,100,1.0,1.989,1.938,-0.224
label1_pass,L30_only,100,1.0,4.422,4.188,2.21
label1_pass,L31_only,100,1.0,2.578,2.625,0.365
label1_pass,L29_L30,100,1.0,3.656,3.688,1.444
label1_pass,L30_L31,100,1.0,5.077,5.25,2.864
label1_pass,L29_L30_L31,100,1.0,4.254,4.375,2.041
label1_pass,L15_ctrl,100,0.94,1.94,2.062,-0.272
label1_pass,L25_L26_ctrl,100,1.0,2.275,2.25,0.062
label0_pass,baseline,100,0.07,-2.086,-1.625,0.0
label0_pass,L29_only,100,0.07,-2.01,-1.562,0.076
label0_pass,L30_only,100,0.15,-2.729,-2.188,-0.642
label0_pass,L31_only,100,0.07,-2.159,-2.0,-0.072
label0_pass,L29_L30,100,0.16,-2.534,-2.125,-0.448
label0_pass,L30_L31,100,0.09,-3.249,-3.0,-1.162
label0_pass,L29_L30_L31,100,0.08,-2.858,-2.75,-0.771
label0_pass,L15_ctrl,100,0.07,-2.078,-1.688,0.009
label0_pass,L25_L26_ctrl,100,0.06,-1.99,-1.562,0.096
